Title,URL,Source,Publication Date,Summary,Emotion Label,Thematic Label
Aid Organizations Respond #218,https://vox.org/news/000217,Vox,2018-09-05,News coverage about deportation. This article discusses developments and their impact on communities.,Frustration,Community Response
State Takes Action on Immigration #44,https://reuters.com/us/story/0043,NPR,2018-09-06,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Outrage,Detention Conditions
Aid Organizations Respond #60,https://www.vox.com/article-00059,The Hill,2018-09-17,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Anger,Community Response
New Immigration Policy Affects Thousands #374,https://news.reuters.com/article/00373/asylum-seekers,Vox,2018-09-20,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Sadness,Community Response
Families Separated by Policies #376,https://www.slate.com/article-00375,New York Times,2018-10-10,News coverage about deportation. This article discusses developments and their impact on communities.,Sadness,Rights Issues
State Takes Action on Immigration #107,https://reuters.com/us/story/0106,Vox,2018-10-18,News coverage about government immigration. This article discusses developments and their impact on communities.,Frustration,Rights Issues
Advocacy Groups Demand Changes #187,https://news.cnn.com/article/00186/sanctuary-cities,NBC News,2018-10-20,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Fear,Policy Changes
Workers Organize for Rights #102,https://reuters.com/us/story/0101,Politico,2018-10-24,News coverage about border enforcement. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Asylum Seekers Face Uncertain Future #37,https://news.apnews.com/article/00036/federal-immigration,CBS News,2018-11-05,News coverage about federal immigration. This article discusses developments and their impact on communities.,Despair,Detention Conditions
Detention Center Conditions Under Review #408,https://www.thehill.com/article-00407,NBC News,2018-11-11,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Sadness,Community Response
State Takes Action on Immigration #46,https://news.apnews.com/article/00045/state-immigration,Slate,2018-11-16,News coverage about state immigration. This article discusses developments and their impact on communities.,Dismay,Family Separation
Aid Organizations Respond #371,https://nbcnews.org/news/000370,NBC News,2018-12-24,News coverage about detention facilities. This article discusses developments and their impact on communities.,Anger,Rights Issues
New Guidelines Change Enforcement #488,https://news.reuters.com/article/00487/federal-immigration,The Guardian,2019-01-02,News coverage about federal immigration. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Workers Organize for Rights #417,https://news.reuters.com/article/00416/border-enforcement,Politico,2019-01-08,News coverage about border enforcement. This article discusses developments and their impact on communities.,Sadness,Rights Issues
State Takes Action on Immigration #5,https://news.apnews.com/article/00004/immigrant-rights,USA Today,2019-01-10,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Fear,Community Response
Federal Court Rules on Immigration Case #388,https://www.guardian.com/immigration-reform-0387,BBC News,2019-01-17,News coverage about immigration reform. This article discusses developments and their impact on communities.,Anger,Family Separation
Leaders Address Immigration Crisis #12,https://news.nbc.com/article/00011/detention-facilities,ABC News,2019-01-22,News coverage about detention facilities. This article discusses developments and their impact on communities.,Sadness,Rights Issues
Leaders Address Immigration Crisis #167,https://www.guardian.com/detention-facilities-0166,New York Times,2019-01-25,News coverage about detention facilities. This article discusses developments and their impact on communities.,Sadness,Legal Barriers
Investigation Reveals Issues #343,https://www.axios.com/article-00342,The Guardian,2019-03-04,News coverage about government immigration. This article discusses developments and their impact on communities.,Outrage,Legal Barriers
Federal Court Rules on Immigration Case #175,https://abcnews.org/news/000174,ABC News,2019-03-12,News coverage about immigration reform. This article discusses developments and their impact on communities.,Frustration,Family Separation
Aid Organizations Respond #144,https://cnbc.org/news/000143,CNBC,2019-03-21,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Dismay,Legal Barriers
Detention Center Conditions Under Review #169,https://www.vox.com/article-00168,The Guardian,2019-03-24,News coverage about detention facilities. This article discusses developments and their impact on communities.,Despair,Detention Conditions
Legal Challenges to Immigration Rules #74,https://www.guardian.com/immigration-policy-0073,Washington Post,2019-04-02,News coverage about immigration policy. This article discusses developments and their impact on communities.,Concern,Detention Conditions
Judge Halts Controversial Policy #61,https://bbc.com/us/story/0060,ProPublica,2019-04-08,News coverage about immigration policy. This article discusses developments and their impact on communities.,Dismay,Family Separation
Investigation Reveals Issues #463,https://theguardian.org/news/000462,The Guardian,2019-04-10,News coverage about immigration policy. This article discusses developments and their impact on communities.,Sadness,Legal Barriers
Families Separated by Policies #421,https://www.nytimes.com/border-enforcement-0420,Politico,2019-04-13,News coverage about border enforcement. This article discusses developments and their impact on communities.,Despair,Community Response
Families Separated by Policies #160,https://www.nytimes.com/immigrant-rights-0159,Bloomberg,2019-04-24,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Dismay,Policy Changes
Federal Court Rules on Immigration Case #182,https://www.guardian.com/border-enforcement-0181,USA Today,2019-05-04,News coverage about border enforcement. This article discusses developments and their impact on communities.,Dismay,Rights Issues
Asylum Seekers Face Uncertain Future #163,https://cnbc.org/news/000162,CNBC,2019-05-06,News coverage about state immigration. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
Experts Debate Security Measures #307,https://www.guardian.com/ICE-raids-0306,Axios,2019-05-27,News coverage about ICE raids. This article discusses developments and their impact on communities.,Dismay,Community Response
Report Documents Policy Impact #360,https://www.vox.com/article-00359,Politico,2019-06-12,News coverage about immigration policy. This article discusses developments and their impact on communities.,Outrage,Rights Issues
Legal Challenges to Immigration Rules #281,https://www.guardian.com/deportation-0280,Mother Jones,2019-06-13,News coverage about deportation. This article discusses developments and their impact on communities.,Outrage,Policy Changes
Congress Debates Legislation #77,https://bbc.com/us/story/0076,The Atlantic,2019-07-15,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Asylum Seekers Face Uncertain Future #152,https://bbcnews.org/news/000151,BBC News,2019-07-18,News coverage about deportation. This article discusses developments and their impact on communities.,Despair,Legal Barriers
Asylum Seekers Face Uncertain Future #76,https://news.reuters.com/article/00075/family-separation,ProPublica,2019-07-23,News coverage about family separation. This article discusses developments and their impact on communities.,Concern,Family Separation
Investigation Reveals Issues #358,https://www.slate.com/article-00357,CNN,2019-07-24,News coverage about family separation. This article discusses developments and their impact on communities.,Fear,Legal Barriers
Federal Court Rules on Immigration Case #123,https://news.bbc.com/article/00122/detention-facilities,CNN,2019-07-31,News coverage about detention facilities. This article discusses developments and their impact on communities.,Anxious,Community Response
Families Separated by Policies #435,https://www.slate.com/article-00434,New York Times,2019-08-06,News coverage about detention facilities. This article discusses developments and their impact on communities.,Anxious,Legal Barriers
New Guidelines Change Enforcement #259,https://cnbc.org/news/000258,CNBC,2019-08-18,News coverage about family separation. This article discusses developments and their impact on communities.,Frustration,Rights Issues
Families Separated by Policies #136,https://news.cnn.com/article/00135/immigrant-workers,Washington Post,2019-08-22,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Despair,Detention Conditions
Families Separated by Policies #472,https://www.nytimes.com/family-separation-0471,The Hill,2019-08-31,News coverage about family separation. This article discusses developments and their impact on communities.,Frustration,Detention Conditions
Legal Challenges to Immigration Rules #442,https://www.vox.com/article-00441,Axios,2019-09-01,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Dismay,Legal Barriers
New Guidelines Change Enforcement #466,https://newsweek.org/news/000465,Newsweek,2019-09-03,News coverage about deportation. This article discusses developments and their impact on communities.,Dismay,Policy Changes
Workers Organize for Rights #403,https://www.slate.com/article-00402,Vox,2019-09-04,News coverage about federal immigration. This article discusses developments and their impact on communities.,Outrage,Detention Conditions
Communities Mobilize for Support #252,https://news.bbc.com/article/00251/state-immigration,Vox,2019-09-14,News coverage about state immigration. This article discusses developments and their impact on communities.,Anger,Policy Changes
Legal Challenges to Immigration Rules #367,https://www.time.com/article-00366,CBS News,2019-09-14,News coverage about federal immigration. This article discusses developments and their impact on communities.,Grief,Community Response
New Immigration Policy Affects Thousands #2,https://reuters.com/us/story/0001,Reuters,2019-09-25,News coverage about immigration policy. This article discusses developments and their impact on communities.,Outrage,Family Separation
Investigation Reveals Issues #13,https://bbc.com/us/story/0012,Vox,2019-09-26,News coverage about ICE raids. This article discusses developments and their impact on communities.,Outrage,Legal Barriers
Federal Court Rules on Immigration Case #146,https://cnn.com/us/story/0145,ProPublica,2019-10-03,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Communities Mobilize for Support #133,https://newsweek.org/news/000132,Newsweek,2019-10-13,News coverage about ICE raids. This article discusses developments and their impact on communities.,Sadness,Legal Barriers
New Immigration Policy Affects Thousands #469,https://npr.org/news/000468,NPR,2019-10-22,News coverage about family separation. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Families Separated by Policies #64,https://www.axios.com/article-00063,The Guardian,2019-10-22,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Anxious,Policy Changes
Congress Debates Legislation #51,https://www.politico.com/immigrant-rights-0050,Axios,2019-10-27,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Grief,Rights Issues
Communities Rally for Reform #282,https://nbcnews.org/news/000281,NBC News,2019-11-04,News coverage about federal immigration. This article discusses developments and their impact on communities.,Fear,Legal Barriers
Rights Groups File Lawsuit #325,https://bloomberg.org/news/000324,Bloomberg,2019-12-13,News coverage about immigration policy. This article discusses developments and their impact on communities.,Concern,Legal Barriers
Advocacy Groups Demand Changes #284,https://www.nytimes.com/state-immigration-0283,USA Today,2019-12-27,News coverage about state immigration. This article discusses developments and their impact on communities.,Grief,Community Response
Federal Court Rules on Immigration Case #468,https://reuters.com/us/story/0467,NBC News,2020-01-13,News coverage about federal immigration. This article discusses developments and their impact on communities.,Despair,Legal Barriers
Legal Challenges to Immigration Rules #489,https://reuters.com/us/story/0488,Washington Post,2020-01-20,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Judge Halts Controversial Policy #480,https://news.cnn.com/article/00479/immigration-reform,Time Magazine,2020-01-22,News coverage about immigration reform. This article discusses developments and their impact on communities.,Anger,Rights Issues
Legal Challenges to Immigration Rules #321,https://apnews.org/news/000320,AP News,2020-01-26,News coverage about federal immigration. This article discusses developments and their impact on communities.,Grief,Policy Changes
Communities Mobilize for Support #159,https://news.apnews.com/article/00158/immigration-policy,Reuters,2020-01-26,News coverage about immigration policy. This article discusses developments and their impact on communities.,Dismay,Community Response
Federal Court Rules on Immigration Case #121,https://usatoday.org/news/000120,USA Today,2020-02-06,News coverage about federal immigration. This article discusses developments and their impact on communities.,Anxious,Policy Changes
Report Documents Policy Impact #301,https://www.slate.com/article-00300,CBS News,2020-02-09,News coverage about family separation. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
Detention Center Conditions Under Review #456,https://cnn.com/us/story/0455,Newsweek,2020-02-17,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Outrage,Policy Changes
Communities Mobilize for Support #491,https://www.politico.com/deportation-0490,Bloomberg,2020-03-10,News coverage about deportation. This article discusses developments and their impact on communities.,Fear,Detention Conditions
Federal Court Rules on Immigration Case #24,https://slate.org/news/000023,Slate,2020-03-27,News coverage about immigration policy. This article discusses developments and their impact on communities.,Anxious,Family Separation
Families Separated by Policies #275,https://www.axios.com/article-00274,Reuters,2020-05-03,News coverage about federal immigration. This article discusses developments and their impact on communities.,Dismay,Legal Barriers
Report Documents Policy Impact #238,https://www.nytimes.com/legal-immigration-0237,Washington Post,2020-05-09,News coverage about legal immigration. This article discusses developments and their impact on communities.,Concern,Detention Conditions
Congress Debates Legislation #462,https://news.cnn.com/article/00461/immigrant-rights,Axios,2020-05-21,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Fear,Legal Barriers
State Takes Action on Immigration #27,https://news.cnn.com/article/00026/immigrant-workers,CBS News,2020-05-25,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Concern,Policy Changes
Judge Halts Controversial Policy #18,https://www.vox.com/article-00017,AP News,2020-06-13,News coverage about state immigration. This article discusses developments and their impact on communities.,Sadness,Detention Conditions
State Takes Action on Immigration #62,https://abcnews.org/news/000061,ABC News,2020-06-22,News coverage about border enforcement. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Congress Debates Legislation #373,https://news.bbc.com/article/00372/ICE-raids,Reuters,2020-07-01,News coverage about ICE raids. This article discusses developments and their impact on communities.,Grief,Legal Barriers
New Immigration Policy Affects Thousands #335,https://cnn.com/us/story/0334,Fox News,2020-07-20,News coverage about ICE raids. This article discusses developments and their impact on communities.,Frustration,Detention Conditions
Communities Mobilize for Support #495,https://www.guardian.com/ICE-raids-0494,Politico,2020-08-14,News coverage about ICE raids. This article discusses developments and their impact on communities.,Sadness,Community Response
Congress Debates Legislation #161,https://news.cnn.com/article/00160/immigration-policy,The Guardian,2020-08-15,News coverage about immigration policy. This article discusses developments and their impact on communities.,Sadness,Legal Barriers
Leaders Address Immigration Crisis #272,https://cnn.com/us/story/0271,The Atlantic,2020-08-19,News coverage about federal immigration. This article discusses developments and their impact on communities.,Anxious,Family Separation
Workers Organize for Rights #312,https://www.slate.com/article-00311,Time Magazine,2020-09-01,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Sadness,Legal Barriers
Advocacy Groups Demand Changes #135,https://www.nytimes.com/immigration-reform-0134,Vox,2020-09-01,News coverage about immigration reform. This article discusses developments and their impact on communities.,Grief,Family Separation
Report Documents Policy Impact #448,https://www.vox.com/article-00447,ABC News,2020-09-07,News coverage about family separation. This article discusses developments and their impact on communities.,Dismay,Policy Changes
Legal Challenges to Immigration Rules #140,https://bbc.com/us/story/0139,CBS News,2020-09-09,News coverage about detention facilities. This article discusses developments and their impact on communities.,Fear,Detention Conditions
Aid Organizations Respond #22,https://cnn.com/us/story/0021,ABC News,2020-10-06,News coverage about border enforcement. This article discusses developments and their impact on communities.,Grief,Family Separation
Congress Debates Legislation #211,https://www.axios.com/article-00210,Bloomberg,2020-10-09,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Grief,Family Separation
New Guidelines Change Enforcement #194,https://www.thehill.com/article-00193,Fox News,2020-10-21,News coverage about legal immigration. This article discusses developments and their impact on communities.,Dismay,Detention Conditions
Leaders Address Immigration Crisis #328,https://www.thehill.com/article-00327,Newsweek,2020-10-28,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Grief,Legal Barriers
Workers Organize for Rights #445,https://www.nytimes.com/government-immigration-0444,The Atlantic,2020-11-12,News coverage about government immigration. This article discusses developments and their impact on communities.,Frustration,Rights Issues
Workers Organize for Rights #172,https://news.reuters.com/article/00171/detention-facilities,CNBC,2020-11-30,News coverage about detention facilities. This article discusses developments and their impact on communities.,Frustration,Community Response
State Takes Action on Immigration #19,https://vox.org/news/000018,Vox,2020-12-01,News coverage about immigration reform. This article discusses developments and their impact on communities.,Frustration,Policy Changes
Congress Debates Legislation #243,https://cnn.com/us/story/0242,The Atlantic,2020-12-03,News coverage about deportation. This article discusses developments and their impact on communities.,Anxious,Community Response
Asylum Seekers Face Uncertain Future #353,https://abcnews.org/news/000352,ABC News,2020-12-10,News coverage about immigration reform. This article discusses developments and their impact on communities.,Anger,Family Separation
Workers Organize for Rights #81,https://www.nytimes.com/border-enforcement-0080,The Guardian,2020-12-27,News coverage about border enforcement. This article discusses developments and their impact on communities.,Fear,Legal Barriers
Communities Mobilize for Support #296,https://bbc.com/us/story/0295,Politico,2020-12-28,News coverage about legal immigration. This article discusses developments and their impact on communities.,Fear,Legal Barriers
Experts Debate Security Measures #179,https://www.axios.com/federal-immigration-0178,BBC News,2021-01-04,News coverage about federal immigration. This article discusses developments and their impact on communities.,Despair,Legal Barriers
Aid Organizations Respond #244,https://www.axios.com/detention-facilities-0243,The Guardian,2021-01-07,News coverage about detention facilities. This article discusses developments and their impact on communities.,Grief,Legal Barriers
Families Separated by Policies #103,https://www.time.com/article-00102,ProPublica,2021-01-15,News coverage about deportation. This article discusses developments and their impact on communities.,Anxious,Rights Issues
New Guidelines Change Enforcement #66,https://www.nytimes.com/deportation-0065,Reuters,2021-01-18,News coverage about deportation. This article discusses developments and their impact on communities.,Anger,Community Response
Experts Debate Security Measures #494,https://cnn.com/us/story/0493,The Hill,2021-02-04,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Investigation Reveals Issues #225,https://www.axios.com/federal-immigration-0224,USA Today,2021-02-15,News coverage about federal immigration. This article discusses developments and their impact on communities.,Outrage,Detention Conditions
Investigation Reveals Issues #113,https://www.time.com/article-00112,NBC News,2021-02-16,News coverage about ICE raids. This article discusses developments and their impact on communities.,Grief,Detention Conditions
Experts Debate Security Measures #460,https://cnn.com/us/story/0459,Washington Post,2021-02-21,News coverage about government immigration. This article discusses developments and their impact on communities.,Frustration,Rights Issues
Asylum Seekers Face Uncertain Future #242,https://reuters.com/us/story/0241,ProPublica,2021-02-27,News coverage about state immigration. This article discusses developments and their impact on communities.,Outrage,Policy Changes
Communities Mobilize for Support #98,https://news.apnews.com/article/00097/legal-immigration,The Guardian,2021-02-27,News coverage about legal immigration. This article discusses developments and their impact on communities.,Anxious,Rights Issues
Asylum Seekers Face Uncertain Future #471,https://cnn.com/us/story/0470,USA Today,2021-03-03,News coverage about ICE raids. This article discusses developments and their impact on communities.,Outrage,Family Separation
Detention Center Conditions Under Review #361,https://news.cnn.com/article/00360/ICE-raids,ABC News,2021-03-03,News coverage about ICE raids. This article discusses developments and their impact on communities.,Anxious,Family Separation
Asylum Seekers Face Uncertain Future #101,https://www.axios.com/immigration-reform-0100,The Guardian,2021-03-07,News coverage about immigration reform. This article discusses developments and their impact on communities.,Concern,Policy Changes
Workers Organize for Rights #87,https://reuters.com/us/story/0086,AP News,2021-03-10,News coverage about detention facilities. This article discusses developments and their impact on communities.,Concern,Legal Barriers
Communities Rally for Reform #266,https://axios.org/news/000265,Axios,2021-03-16,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Despair,Community Response
State Takes Action on Immigration #484,https://reuters.com/us/story/0483,The Hill,2021-03-17,News coverage about detention facilities. This article discusses developments and their impact on communities.,Outrage,Community Response
Asylum Seekers Face Uncertain Future #285,https://bbc.com/us/story/0284,Politico,2021-03-22,News coverage about immigration reform. This article discusses developments and their impact on communities.,Dismay,Community Response
Asylum Seekers Face Uncertain Future #164,https://newsweek.org/news/000163,Newsweek,2021-04-04,News coverage about immigration reform. This article discusses developments and their impact on communities.,Dismay,Rights Issues
New Guidelines Change Enforcement #246,https://news.apnews.com/article/00245/federal-immigration,Bloomberg,2021-04-07,News coverage about federal immigration. This article discusses developments and their impact on communities.,Dismay,Legal Barriers
Report Documents Policy Impact #224,https://www.axios.com/federal-immigration-0223,Washington Post,2021-04-16,News coverage about federal immigration. This article discusses developments and their impact on communities.,Outrage,Detention Conditions
Judge Halts Controversial Policy #313,https://www.guardian.com/state-immigration-0312,BBC News,2021-05-04,News coverage about state immigration. This article discusses developments and their impact on communities.,Concern,Family Separation
Congress Debates Legislation #234,https://reuters.com/us/story/0233,Vox,2021-05-15,News coverage about ICE raids. This article discusses developments and their impact on communities.,Grief,Family Separation
Congress Debates Legislation #214,https://www.thehill.com/article-00213,The Hill,2021-05-24,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Grief,Community Response
Experts Debate Security Measures #318,https://usatoday.org/news/000317,USA Today,2021-05-24,News coverage about family separation. This article discusses developments and their impact on communities.,Concern,Community Response
Detention Center Conditions Under Review #348,https://cnn.com/us/story/0347,USA Today,2021-05-30,News coverage about ICE raids. This article discusses developments and their impact on communities.,Despair,Legal Barriers
Investigation Reveals Issues #287,https://politico.org/news/000286,Politico,2021-05-31,News coverage about detention facilities. This article discusses developments and their impact on communities.,Grief,Family Separation
New Immigration Policy Affects Thousands #141,https://reuters.com/us/story/0140,ABC News,2021-06-09,News coverage about state immigration. This article discusses developments and their impact on communities.,Dismay,Rights Issues
Investigation Reveals Issues #82,https://news.cnn.com/article/00081/sanctuary-cities,New York Times,2021-06-09,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Grief,Legal Barriers
Congress Debates Legislation #299,https://reuters.com/us/story/0298,ABC News,2021-06-14,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Sadness,Detention Conditions
Congress Debates Legislation #337,https://www.axios.com/article-00336,AP News,2021-08-02,News coverage about immigration policy. This article discusses developments and their impact on communities.,Concern,Rights Issues
Congress Debates Legislation #500,https://www.axios.com/legal-immigration-0499,Time Magazine,2021-08-04,News coverage about legal immigration. This article discusses developments and their impact on communities.,Despair,Detention Conditions
New Guidelines Change Enforcement #317,https://www.politico.com/deportation-0316,The Atlantic,2021-08-05,News coverage about deportation. This article discusses developments and their impact on communities.,Anxious,Legal Barriers
Communities Mobilize for Support #385,https://www.nytimes.com/legal-immigration-0384,Vox,2021-08-30,News coverage about legal immigration. This article discusses developments and their impact on communities.,Despair,Family Separation
Experts Debate Security Measures #80,https://www.guardian.com/ICE-raids-0079,New York Times,2021-09-10,News coverage about ICE raids. This article discusses developments and their impact on communities.,Anger,Rights Issues
Aid Organizations Respond #369,https://abcnews.org/news/000368,ABC News,2021-09-11,News coverage about immigration policy. This article discusses developments and their impact on communities.,Anxious,Family Separation
Communities Rally for Reform #253,https://www.axios.com/article-00252,Newsweek,2021-09-14,News coverage about government immigration. This article discusses developments and their impact on communities.,Outrage,Family Separation
Experts Debate Security Measures #148,https://reuters.org/news/000147,Reuters,2021-09-20,News coverage about immigration policy. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
New Immigration Policy Affects Thousands #452,https://www.politico.com/government-immigration-0451,ProPublica,2021-09-23,News coverage about government immigration. This article discusses developments and their impact on communities.,Frustration,Detention Conditions
Communities Rally for Reform #458,https://bbc.com/us/story/0457,Vox,2021-09-25,News coverage about legal immigration. This article discusses developments and their impact on communities.,Concern,Policy Changes
Legal Challenges to Immigration Rules #70,https://www.thehill.com/article-00069,CNN,2021-09-25,News coverage about state immigration. This article discusses developments and their impact on communities.,Fear,Community Response
Experts Debate Security Measures #188,https://nbcnews.org/news/000187,NBC News,2021-10-03,News coverage about family separation. This article discusses developments and their impact on communities.,Concern,Policy Changes
Legal Challenges to Immigration Rules #189,https://news.reuters.com/article/00188/immigration-reform,The Atlantic,2021-10-04,News coverage about immigration reform. This article discusses developments and their impact on communities.,Dismay,Policy Changes
State Takes Action on Immigration #263,https://theatlantic.org/news/000262,The Atlantic,2021-10-11,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Grief,Community Response
Federal Court Rules on Immigration Case #433,https://reuters.com/us/story/0432,The Atlantic,2021-10-16,News coverage about detention facilities. This article discusses developments and their impact on communities.,Concern,Legal Barriers
New Immigration Policy Affects Thousands #68,https://cnn.com/us/story/0067,Vox,2021-10-17,News coverage about government immigration. This article discusses developments and their impact on communities.,Concern,Community Response
New Immigration Policy Affects Thousands #424,https://www.slate.com/article-00423,CNBC,2021-11-21,News coverage about federal immigration. This article discusses developments and their impact on communities.,Anger,Community Response
Legal Challenges to Immigration Rules #241,https://bbc.com/us/story/0240,ABC News,2021-11-22,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Despair,Rights Issues
Congress Debates Legislation #180,https://news.nbc.com/article/00179/asylum-seekers,USA Today,2021-11-23,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
Communities Rally for Reform #125,https://www.vox.com/article-00124,CNBC,2021-11-26,News coverage about border enforcement. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
State Takes Action on Immigration #273,https://politico.org/news/000272,Politico,2021-12-13,News coverage about border enforcement. This article discusses developments and their impact on communities.,Grief,Community Response
Families Separated by Policies #58,https://abcnews.org/news/000057,ABC News,2022-01-11,News coverage about border enforcement. This article discusses developments and their impact on communities.,Frustration,Community Response
Asylum Seekers Face Uncertain Future #158,https://bbc.com/us/story/0157,New York Times,2022-01-30,News coverage about state immigration. This article discusses developments and their impact on communities.,Concern,Policy Changes
Detention Center Conditions Under Review #493,https://www.axios.com/immigrant-workers-0492,BBC News,2022-01-31,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Outrage,Detention Conditions
Detention Center Conditions Under Review #340,https://www.guardian.com/immigrant-workers-0339,Mother Jones,2022-02-11,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Anxious,Legal Barriers
Leaders Address Immigration Crisis #310,https://thehill.org/news/000309,The Hill,2022-02-16,News coverage about government immigration. This article discusses developments and their impact on communities.,Sadness,Detention Conditions
Experts Debate Security Measures #352,https://www.axios.com/article-00351,The Atlantic,2022-02-17,News coverage about legal immigration. This article discusses developments and their impact on communities.,Fear,Family Separation
Judge Halts Controversial Policy #1,https://news.apnews.com/article/00000/immigration-policy,CNN,2022-03-04,News coverage about immigration policy. This article discusses developments and their impact on communities.,Fear,Community Response
Congress Debates Legislation #201,https://news.reuters.com/article/00200/detention-facilities,Axios,2022-03-05,News coverage about detention facilities. This article discusses developments and their impact on communities.,Sadness,Detention Conditions
Aid Organizations Respond #304,https://www.time.com/article-00303,Newsweek,2022-03-08,News coverage about immigration reform. This article discusses developments and their impact on communities.,Despair,Policy Changes
Rights Groups File Lawsuit #330,https://cnn.com/us/story/0329,Newsweek,2022-03-12,News coverage about detention facilities. This article discusses developments and their impact on communities.,Grief,Detention Conditions
Congress Debates Legislation #166,https://www.axios.com/article-00165,Washington Post,2022-03-20,News coverage about immigrant workers. This article discusses developments and their impact on communities.,Frustration,Legal Barriers
Experts Debate Security Measures #333,https://reuters.com/us/story/0332,AP News,2022-03-25,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Anger,Rights Issues
Aid Organizations Respond #487,https://www.nytimes.com/ICE-raids-0486,The Hill,2022-03-25,News coverage about ICE raids. This article discusses developments and their impact on communities.,Grief,Detention Conditions
Asylum Seekers Face Uncertain Future #117,https://www.nytimes.com/border-enforcement-0116,Reuters,2022-04-01,News coverage about border enforcement. This article discusses developments and their impact on communities.,Concern,Detention Conditions
Families Separated by Policies #413,https://news.apnews.com/article/00412/immigrant-rights,Vox,2022-04-05,News coverage about immigrant rights. This article discusses developments and their impact on communities.,Concern,Rights Issues
Investigation Reveals Issues #366,https://news.cnn.com/article/00365/sanctuary-cities,New York Times,2022-04-05,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Despair,Family Separation
Report Documents Policy Impact #71,https://washingtonpost.org/news/000070,Washington Post,2022-04-06,News coverage about immigration policy. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Workers Organize for Rights #100,https://www.thehill.com/article-00099,The Guardian,2022-04-07,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Anxious,Policy Changes
Federal Court Rules on Immigration Case #264,https://www.time.com/article-00263,USA Today,2022-04-11,News coverage about border enforcement. This article discusses developments and their impact on communities.,Grief,Detention Conditions
Experts Debate Security Measures #326,https://www.vox.com/article-00325,USA Today,2022-05-05,News coverage about border enforcement. This article discusses developments and their impact on communities.,Anxious,Policy Changes
Families Separated by Policies #451,https://www.axios.com/article-00450,Newsweek,2022-05-05,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Outrage,Community Response
Leaders Address Immigration Crisis #327,https://news.bbc.com/article/00326/government-immigration,AP News,2022-05-08,News coverage about government immigration. This article discusses developments and their impact on communities.,Dismay,Family Separation
Advocacy Groups Demand Changes #415,https://washingtonpost.org/news/000414,Washington Post,2022-05-29,News coverage about federal immigration. This article discusses developments and their impact on communities.,Despair,Policy Changes
Asylum Seekers Face Uncertain Future #137,https://news.reuters.com/article/00136/deportation,NPR,2022-06-17,News coverage about deportation. This article discusses developments and their impact on communities.,Despair,Legal Barriers
Advocacy Groups Demand Changes #49,https://www.guardian.com/deportation-0048,CNBC,2022-06-24,News coverage about deportation. This article discusses developments and their impact on communities.,Despair,Rights Issues
Judge Halts Controversial Policy #392,https://www.axios.com/ICE-raids-0391,CNN,2022-06-26,News coverage about ICE raids. This article discusses developments and their impact on communities.,Anger,Policy Changes
Workers Organize for Rights #230,https://politico.org/news/000229,Politico,2022-07-06,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Fear,Rights Issues
